Year,New York City Population,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day)
1979,7102100,1512,213
1980,7071639,1506,213
1981,7089241,1309,185
1982,7109105,1382,194
1983,7181224,1424,198
1984,7234514,1465,203
1985,7274054,1326,182
1986,7319246,1351,185
1987,7342476,1447,197
1988,7353719,1484,202
1989,7344175,1402,191
1990,7335650,1424,194
1991,7374501,1469,199
1992,7428944,1369,184
1993,7506166,1369,182
1994,7570458,1358,179
1995,7633040,1326,174
1996,7697812,1298,169
1997,7773443,1206,155
1998,7858259,1220,155
1999,7947660,1237,156
2000,8008278,1240,155
2001,8024963.5,1184,148
2002,8041649,1136,141
2003,8058334.5,1094,136
2004,8075020,1100,136
2005,8091705.5,1138,141
2006,8108391,1069,132
2007,8125076.5,1114,137
2008,8141762,1098,135
2009,8158447.5,1008,123
2010,8175133,1039,127
2011,8337995,1021,122
2012,8463949,1009,119
2013,8565546,1006,117
2014,8655309,996,115
2015,8736703,1009,115
2016,8794605,1002,114
2017,8815448,990,112
2018,8826472,1008,114
2019,8824887,987,112
2020,8804190,981,111
2021,8467513,979,116
2022,8335897,999,120
2023,8825800,997,113
